ensembl_gene_id,external_gene_name,entrezgene,log2FoldChange
ENSMUSG00000103529,A730089K16Rik,NA,-5.7782796949531
ENSMUSG00000020865,Abcc3,76408,-6.3531992436311
ENSMUSG00000020709,Adap2,216991,-4.4821386322982
ENSMUSG00000055013,Agap1,347722,-5.17177563510723
ENSMUSG00000041936,Agrn,11603,-1.40982566453979
ENSMUSG00000025270,Alas2,11656,-4.77632041142423
ENSMUSG00000066191,Anks6,75691,-4.94538058159652
ENSMUSG00000056656,Apol8,239552,-6.29100173390139
ENSMUSG00000004655,Aqp1,11826,-4.9851841475748
ENSMUSG00000052271,Bhlha15,17341,-1.41615917089576
ENSMUSG00000036887,C1qa,12259,-6.07935210491364
ENSMUSG00000036905,C1qb,12260,-7.16733394702476
ENSMUSG00000036896,C1qc,12262,-5.55399681037478
ENSMUSG00000024164,C3,12266,-5.03228249659158
ENSMUSG00000027556,Car1,12346,-4.66149845940192
ENSMUSG00000004814,Ccl24,56221,-6.35591905615214
ENSMUSG00000035448,Ccr3,12771,-5.44966309739336
ENSMUSG00000028217,Cdh17,12557,-1.20275712021991
ENSMUSG00000034918,Cdhr2,268663,-3.20463875396637
ENSMUSG00000026365,Cfh,12628,-5.39437399956021
ENSMUSG00000008843,Cldn13,57255,-5.67279839320518
ENSMUSG00000023349,Clec4n,56620,-5.98956562022378
ENSMUSG00000036103,Colec12,140792,-7.18608410166984
ENSMUSG00000000223,Drp2,13497,-4.00449056866375
ENSMUSG00000028024,Enpep,13809,-6.17002072128113
ENSMUSG00000024044,Epb41l3,13823,-6.30776185213792
ENSMUSG00000006235,Epor,13857,-4.95418018665475
ENSMUSG00000028644,Ermap,27028,-3.70376778118478
ENSMUSG00000026938,Fcna,14133,-5.55763946829265
ENSMUSG00000041842,Fhdc1,229474,-5.33414249420596
ENSMUSG00000026193,Fn1,14268,-4.28325424463525
ENSMUSG00000030064,Frmd4b,232288,-2.97327037303923
ENSMUSG00000042680,Garem1,381126,-4.32628060990616
ENSMUSG00000026815,Gfi1b,14582,-2.57086270720713
ENSMUSG00000103089,Gm38118,NA,-2.48539560193526
ENSMUSG00000102752,Gm7694,665574,-5.14387242775697
ENSMUSG00000018339,Gpx3,14778,-2.43403109423128
ENSMUSG00000051839,Gypa,14934,-4.67522903067831
ENSMUSG00000029102,Hgfac,54426,-2.70793540406117
ENSMUSG00000034586,Hid1,217310,-1.7982459376419
ENSMUSG00000020679,Hnf1b,21410,-2.47998335796673
ENSMUSG00000031613,Hpgd,15446,-5.37457257283133
ENSMUSG00000046321,Hs3st2,195646,-5.03577733377049
ENSMUSG00000016194,Hsd11b1,15483,-1.19169797262872
ENSMUSG00000023830,Igf2r,16004,-1.04227520123341
ENSMUSG00000004296,Il12b,16160,-5.3130488340906
ENSMUSG00000039115,Itga9,104099,-5.51811895287208
ENSMUSG00000070369,Itgad,381924,-4.10075392287562
ENSMUSG00000044708,Kcnj10,16513,-5.49115388031831
ENSMUSG00000046410,Kcnk6,52150,-1.02871533941163
ENSMUSG00000041633,Kctd12b,207474,-5.4418189442172
ENSMUSG00000054191,Klf1,16596,-3.93123587936026
ENSMUSG00000006948,Klk4,56640,-1.82192153093684
ENSMUSG00000027412,Lpin3,64899,-5.8152687107911
ENSMUSG00000022324,Matn2,17181,-1.39910740357074
ENSMUSG00000037336,Mfsd2b,432628,-3.64137328820619
ENSMUSG00000000957,Mmp14,17387,-2.891065597837
ENSMUSG00000031790,Mmp15,17388,-3.25331158445032
ENSMUSG00000026712,Mrc1,17533,-2.56293728106183
ENSMUSG00000054999,Naaladl1,381204,-3.68679159259773
ENSMUSG00000070390,Nlrp1b,637515,-4.58069420020344
ENSMUSG00000002108,Nr1h3,22259,-4.15684719623559
ENSMUSG00000026335,Pam,18484,-1.93283975502316
ENSMUSG00000027188,Pamr1,210622,-5.0547906641758
ENSMUSG00000064225,Paqr9,75552,-7.54769544446267
ENSMUSG00000020098,Pcbd1,13180,-2.14367291721373
ENSMUSG00000032105,Pdzd3,170761,-4.34524033854757
ENSMUSG00000041202,Pla2g2d,18782,-7.02761015870313
ENSMUSG00000025429,Pstpip2,19201,-1.99049890228
ENSMUSG00000047250,Ptgs1,19224,-7.80865938050656
ENSMUSG00000024663,Rab3il1,74760,-6.07434717893891
ENSMUSG00000052688,Rab7b,226421,-4.0904277444648
ENSMUSG00000018012,Rac3,170758,-4.94075098705463
ENSMUSG00000023926,Rhag,19743,-5.6425278107904
ENSMUSG00000028825,Rhd,19746,-3.91623208385895
ENSMUSG00000022580,Rhpn1,14787,-5.6178690779687
ENSMUSG00000022123,Scel,64929,-3.11459154452926
ENSMUSG00000025743,Sdc3,20970,-1.4116615554777
ENSMUSG00000021403,Serpinb9b,20706,-2.81342158395802
ENSMUSG00000053886,Sh2d4a,72281,-6.55127751851825
ENSMUSG00000027322,Siglec1,20612,-7.82344676763549
ENSMUSG00000025993,Slc40a1,53945,-4.98225993252262
ENSMUSG00000027075,Slc43a1,72401,-2.3844399642857
ENSMUSG00000026435,Slc45a3,212980,-7.3960071538214
ENSMUSG00000002504,Slc9a3r2,65962,-4.55057996033245
ENSMUSG00000078439,Smim24,72273,-1.04084103777222
ENSMUSG00000025889,Snca,20617,-5.16607450420464
ENSMUSG00000026532,Spta1,20739,-6.90535501353621
ENSMUSG00000026389,Steap3,68428,-2.78837707529452
ENSMUSG00000028717,Tal1,21349,-5.37566055168469
ENSMUSG00000035493,Tgfbi,21810,-3.17996281246655
ENSMUSG00000055546,Timd4,276891,-8.43675773050673
ENSMUSG00000028776,Tinagl1,94242,-4.81392558430328
ENSMUSG00000031919,Tmed6,66269,-2.33991805332552
ENSMUSG00000005824,Tnfsf14,50930,-3.91497940949404
ENSMUSG00000051682,Treml4,224840,-4.71066316003947
ENSMUSG00000073400,Trim10,19824,-4.8276677548777
ENSMUSG00000020773,Trim47,217333,-3.16606711367032
ENSMUSG00000009246,Trpm5,56843,-3.88443622379274
ENSMUSG00000026556,Vangl2,93840,-1.29808921443416
ENSMUSG00000027962,Vcam1,22329,-4.48650185045222
