ensembl_gene_id,external_gene_name,entrezgene,log2FoldChange
ENSMUSG00000100182,1810006J02Rik,69030,-1.39492925187874
ENSMUSG00000112753,4930423D24Rik,73892,-3.91559864616485
ENSMUSG00000069873,4930438A08Rik,73988,-4.29885032760115
ENSMUSG00000098322,5830468F06Rik,NA,-4.4815317331102
ENSMUSG00000031824,6430548M08Rik,234797,-3.20018711874667
ENSMUSG00000056738,A730036I17Rik,329513,-4.38510189561479
ENSMUSG00000031974,Abcb10,56199,-1.14676324269822
ENSMUSG00000032131,Abcg4,192663,-4.22944278126467
ENSMUSG00000037872,Ackr1,13349,-6.08491221850861
ENSMUSG00000022126,Acod1,16365,-7.50123587471618
ENSMUSG00000004730,Adgre1,13733,-1.89441574953431
ENSMUSG00000025270,Alas2,11656,-3.75400179765472
ENSMUSG00000060063,Alox5ap,11690,-2.21999860590659
ENSMUSG00000004105,Angptl2,26360,-5.54418312043631
ENSMUSG00000046295,Ankle1,234396,-1.75402114473738
ENSMUSG00000036777,Anln,68743,-1.69660567014289
ENSMUSG00000024659,Anxa1,16952,-1.13567448036746
ENSMUSG00000032231,Anxa2,12306,-1.14838539495199
ENSMUSG00000021322,Aoah,27052,-4.93022716260422
ENSMUSG00000042759,Apobr,171504,-2.49480417085399
ENSMUSG00000050982,Apol10a,245282,-5.01292170309061
ENSMUSG00000091694,Apol11b,328563,-4.59072999384472
ENSMUSG00000022892,App,11820,-2.45133936209683
ENSMUSG00000040964,Arhgef10l,72754,-6.84962680098262
ENSMUSG00000018909,Arrb1,109689,-1.19258768990917
ENSMUSG00000034842,Art3,109979,-4.57994163888218
ENSMUSG00000031803,B3gnt3,72297,-3.03999080331154
ENSMUSG00000102037,Bcl2a1a,12044,-1.99964586322635
ENSMUSG00000007659,Bcl2l1,12048,-1.59053630381607
ENSMUSG00000020490,Btnl10,192194,-4.62513979580003
ENSMUSG00000026928,Card9,332579,-3.66253337548449
ENSMUSG00000022947,Cbr3,109857,-3.32129133659113
ENSMUSG00000043953,Ccrl2,54199,-1.88643058929383
ENSMUSG00000004709,Cd244a,18106,-1.92975943254459
ENSMUSG00000041598,Cdc42ep4,56699,-1.44835464733265
ENSMUSG00000023067,Cdkn1a,12575,-2.14293342596404
ENSMUSG00000030878,Cdr2,12585,-1.7396695265761
ENSMUSG00000056501,Cebpb,12608,-2.36450386445513
ENSMUSG00000071637,Cebpd,12609,-1.72892810995121
ENSMUSG00000052435,Cebpe,110794,-3.51262303773306
ENSMUSG00000030144,Clec4d,17474,-4.08419799478638
ENSMUSG00000030142,Clec4e,56619,-5.97784427398512
ENSMUSG00000029915,Clec5a,23845,-5.06401593679554
ENSMUSG00000026317,Cln8,26889,-2.22115613791271
ENSMUSG00000028337,Coro2a,107684,-2.11829428412407
ENSMUSG00000003617,Cp,12870,-6.00090325001663
ENSMUSG00000036377,Cracd,320827,-2.82452355337963
ENSMUSG00000040713,Creg1,433375,-1.21271103044326
ENSMUSG00000059326,Csf2ra,12982,-1.67049854716428
ENSMUSG00000040314,Ctsg,13035,-3.97432770339312
ENSMUSG00000022818,Cyp2ab1,224044,-7.85155591499254
ENSMUSG00000018001,Cyth3,19159,-1.44096514008467
ENSMUSG00000032380,Dapk2,13143,-1.58385723146713
ENSMUSG00000031024,Denn2b,76954,-2.0831095608765
ENSMUSG00000034449,Dhrs11,192970,-1.43811196694448
ENSMUSG00000044447,Dock5,68813,-2.56223471073556
ENSMUSG00000020057,Dram1,71712,-2.73392205719568
ENSMUSG00000030203,Dusp16,70686,-1.62272438870236
ENSMUSG00000034765,Dusp5,240672,-1.08792519898788
ENSMUSG00000016526,Dyrk3,226419,-1.27730546835538
ENSMUSG00000020125,Elane,50701,-10.8124371937241
ENSMUSG00000060600,Eno3,13808,-2.47897591260227
ENSMUSG00000120198,ENSMUSG00000120198,NA,-1.21136100055806
ENSMUSG00000120878,ENSMUSG00000120878,NA,-2.34957034029148
ENSMUSG00000121039,ENSMUSG00000121039,NA,-1.1706169483763
ENSMUSG00000062515,Fabp4,11770,-8.06892152331338
ENSMUSG00000020614,Fam20a,208659,-5.33232401115828
ENSMUSG00000043068,Fam89a,69627,-1.7711139529794
ENSMUSG00000059089,Fcgr4,246256,-4.90448218691206
ENSMUSG00000026835,Fcnb,14134,-5.84482373691007
ENSMUSG00000024588,Fech,14151,-1.79717426776517
ENSMUSG00000028874,Fgr,14191,-1.27768246719324
ENSMUSG00000051435,Fhad1,329977,-2.95691797322621
ENSMUSG00000041842,Fhdc1,229474,-4.22571893729937
ENSMUSG00000020635,Fkbp1b,14226,-3.84734714502592
ENSMUSG00000044042,Fmn1,14260,-2.96407143223019
ENSMUSG00000052270,Fpr2,14289,-5.86839582711099
ENSMUSG00000033386,Frrs1,20321,-1.28147657265749
ENSMUSG00000096755,Ftl1-ps2,NA,-1.58790681166634
ENSMUSG00000090665,Gad1-ps,NA,-3.47693174029945
ENSMUSG00000028124,Gclm,14630,-1.07189197904244
ENSMUSG00000021360,Gcnt2,14538,-5.42502234568487
ENSMUSG00000020932,Gfap,14580,-4.05379773623236
ENSMUSG00000025059,Gk,14933,-1.15010914238564
ENSMUSG00000079889,Gm11951,NA,-5.72557805577038
ENSMUSG00000084854,Gm12678,102632657,-1.78826672130008
ENSMUSG00000084918,Gm12708,105244624,-1.11260028961654
ENSMUSG00000083962,Gm15707,NA,-2.55094474346845
ENSMUSG00000081723,Gm15931,NA,-3.38341392254532
ENSMUSG00000087248,Gm16120,NA,-5.61398296723159
ENSMUSG00000117534,Gm20161,100504304,-5.90032492953538
ENSMUSG00000102882,Gm2065,NA,-1.87970001896118
ENSMUSG00000103451,Gm33973,NA,-6.75361138865092
ENSMUSG00000109663,Gm5331,NA,-4.46241270074024
ENSMUSG00000116912,Gm5487,NA,-1.14538136544682
ENSMUSG00000038811,Gngt2,14710,-1.6348697998799
ENSMUSG00000030054,Gp9,54368,-3.38701899671076
ENSMUSG00000042249,Grk3,320129,-1.84206794661929
ENSMUSG00000001663,Gstt1,14871,-2.20810982368447
ENSMUSG00000069917,Hba-a2,110257,-4.75415227509167
ENSMUSG00000020295,Hbq1a,216635,-5.36120746044272
ENSMUSG00000073063,Hbq1b,544763,-5.83420730390875
ENSMUSG00000028332,Hemgn,93966,-2.43527544732021
ENSMUSG00000029102,Hgfac,54426,-1.94965668901202
ENSMUSG00000037260,Hgsnat,52120,-1.13991133132064
ENSMUSG00000032126,Hmbs,15288,-1.29641185206942
ENSMUSG00000020679,Hnf1b,21410,-2.23640625242564
ENSMUSG00000026896,Ifih1,71586,-1.2829808263117
ENSMUSG00000060591,Ifitm2,80876,-3.40095733728266
ENSMUSG00000025492,Ifitm3,66141,-2.7939850300057
ENSMUSG00000112230,Ifngas1,103214,-1.59083475716486
ENSMUSG00000076613,Ighg2b,NA,-1.46791078515832
ENSMUSG00000042035,Igsf3,78908,-3.10898628110717
ENSMUSG00000016529,Il10,16153,-2.06399886837508
ENSMUSG00000026073,Il1r2,16178,-1.94613973378966
ENSMUSG00000050377,Il31ra,218624,-5.7766499366836
ENSMUSG00000033688,Inhca,71775,-4.41001928357164
ENSMUSG00000030786,Itgam,16409,-1.95990031710501
ENSMUSG00000038209,Itln1,16429,-1.34114558648423
ENSMUSG00000022957,Itsn1,16443,-1.12003467915676
ENSMUSG00000062960,Kdr,16542,-3.94185742694625
ENSMUSG00000029866,Kel,23925,-4.57503331585323
ENSMUSG00000028438,Kif24,109242,-1.18843816266432
ENSMUSG00000030187,Klra2,16633,-5.54263447105783
ENSMUSG00000002699,Lcp2,16822,-2.03793819562305
ENSMUSG00000048058,Ldlrad3,241576,-1.84808023928432
ENSMUSG00000000693,Loxl3,16950,-3.76093187252783
ENSMUSG00000033192,Lpcat2,270084,-1.16477653602632
ENSMUSG00000049988,Lrrc25,211228,-2.75343396830242
ENSMUSG00000073412,Lst1,16988,-2.48576516002627
ENSMUSG00000025702,Marchf8,71779,-1.88573477299124
ENSMUSG00000039208,Metrnl,210029,-3.13331920025761
ENSMUSG00000040557,Mettl27,79565,-1.81520896110246
ENSMUSG00000054619,Mettl7a1,70152,-1.22927324564083
ENSMUSG00000041439,Mfsd6,98682,-1.09248241022841
ENSMUSG00000036620,Mgat4b,103534,-1.1594177481061
ENSMUSG00000033174,Mgll,23945,-1.82944912788266
ENSMUSG00000026688,Mgst3,66447,-1.84742041470819
ENSMUSG00000036718,Micall2,231830,-4.30094720179094
ENSMUSG00000009350,Mpo,17523,-8.88860426251239
ENSMUSG00000017314,Mpp2,50997,-5.64185990468397
ENSMUSG00000024681,Ms4a3,170813,-5.93431366009355
ENSMUSG00000101389,Ms4a4a,666907,-2.9918285617644
ENSMUSG00000079419,Ms4a6c,73656,-1.29579193840352
ENSMUSG00000024679,Ms4a6d,68774,-3.05662831834415
ENSMUSG00000075705,Msrb1,27361,-1.19941055405022
ENSMUSG00000031765,Mt1,17748,-1.45263298402198
ENSMUSG00000017861,Mybl2,17865,-1.23607287618224
ENSMUSG00000031698,Mylk3,213435,-6.97746906442062
ENSMUSG00000024300,Myo1f,17916,-1.29419496201947
ENSMUSG00000026932,Nacc2,67991,-1.07658870687472
ENSMUSG00000029063,Nadk,192185,-1.05979982149197
ENSMUSG00000001911,Nfix,18032,-1.87938994069966
ENSMUSG00000068115,Ninl,78177,-2.38426270252982
ENSMUSG00000023034,Nr4a1,15370,-2.21521620626088
ENSMUSG00000020297,Nsg2,18197,-7.46217929271055
ENSMUSG00000066861,Oas1g,23960,-3.14907670793647
ENSMUSG00000006784,Odad4,74407,-1.58739603632243
ENSMUSG00000028587,Orc1,18392,-1.30220463515038
ENSMUSG00000035863,Palm,18483,-1.58791353579986
ENSMUSG00000000489,Pdgfb,18591,-4.42514414810811
ENSMUSG00000041801,Phlda3,27280,-4.2840854018543
ENSMUSG00000031379,Pir,69656,-6.35989810202158
ENSMUSG00000034462,Pkd2,18764,-3.09376029691731
ENSMUSG00000028494,Plin2,11520,-1.24428659523089
ENSMUSG00000086763,Plxna4os1,319849,-4.7800303420405
ENSMUSG00000036606,Plxnb2,140570,-1.84122612168655
ENSMUSG00000000440,Pparg,19016,-4.21511940256734
ENSMUSG00000005161,Prdx2,21672,-1.03398920475264
ENSMUSG00000049409,Prokr1,58182,-4.22229868716743
ENSMUSG00000056399,Prss34,328780,-9.28812688523936
ENSMUSG00000057729,Prtn3,19152,-5.48782182906748
ENSMUSG00000041836,Ptpre,19267,-1.01720761195799
ENSMUSG00000038807,Rap1gap2,380711,-2.05283119401977
ENSMUSG00000032356,Rasgrf1,19417,-2.78759290389802
ENSMUSG00000096982,Redrum,77433,-5.1608942601415
ENSMUSG00000038387,Rras,20130,-1.00538118092562
ENSMUSG00000045087,S1pr5,94226,-3.43669958955498
ENSMUSG00000096351,Samd11,231004,-2.32891128368771
ENSMUSG00000037936,Scarb1,20778,-1.31932224552598
ENSMUSG00000012017,Scarf2,224024,-3.7722869375358
ENSMUSG00000050931,Sgms2,74442,-4.74304068017823
ENSMUSG00000036206,Sh3bp4,98402,-2.2183198810358
ENSMUSG00000041362,Shtn1,71653,-1.56860542567346
ENSMUSG00000036223,Ska1,66468,-1.4167320618652
ENSMUSG00000024597,Slc12a2,20496,-1.43223203068496
ENSMUSG00000024737,Slc15a3,65221,-1.10537475757847
ENSMUSG00000032902,Slc16a1,20501,-1.22016035565822
ENSMUSG00000019838,Slc16a10,72472,-1.73007487895458
ENSMUSG00000025161,Slc16a3,80879,-2.74820416824662
ENSMUSG00000020334,Slc22a4,30805,-4.38135790343143
ENSMUSG00000023942,Slc29a1,63959,-1.04917378733037
ENSMUSG00000053897,Slc39a8,67547,-1.37428622420989
ENSMUSG00000027075,Slc43a1,72401,-2.06139732966004
ENSMUSG00000027074,Slc43a3,58207,-1.31629460599951
ENSMUSG00000006574,Slc4a1,20533,-4.87614087110528
ENSMUSG00000030769,Slc5a11,233836,-8.05228493767705
ENSMUSG00000036814,Slc6a20a,102680,-3.6546187626707
ENSMUSG00000032754,Slc8b1,170756,-1.03655598200156
ENSMUSG00000082101,Slfn14,237890,-5.19481686547063
ENSMUSG00000000204,Slfn4,20558,-2.15658527064897
ENSMUSG00000027333,Smox,228608,-2.46869692871984
ENSMUSG00000028885,Smpdl3b,100340,-6.54672758539118
ENSMUSG00000053113,Socs3,12702,-1.58282609222635
ENSMUSG00000098188,Sowahc,268301,-1.29953067819112
ENSMUSG00000041540,Sox5,20678,-1.10282976407092
ENSMUSG00000042331,Specc1,432572,-2.28568286599416
ENSMUSG00000027315,Spint1,20732,-1.87018021262545
ENSMUSG00000051457,Spn,20737,-1.03195944593657
ENSMUSG00000026880,Stom,13830,-1.06499328095318
ENSMUSG00000020961,Ston2,108800,-3.39756907794842
ENSMUSG00000024236,Svil,225115,-1.19457985982615
ENSMUSG00000025400,Tac2,21334,-4.87706807344817
ENSMUSG00000037410,Tbc1d2b,67016,-2.66981372971362
ENSMUSG00000001444,Tbx21,57765,-1.01542253213971
ENSMUSG00000024985,Tcf7l2,21416,-3.23476383176517
ENSMUSG00000037820,Tgm2,21817,-1.81505440162296
ENSMUSG00000023800,Tiam2,24001,-3.79257883184781
ENSMUSG00000028776,Tinagl1,94242,-3.78976485582858
ENSMUSG00000019437,Tlcd1,68385,-1.38592434937777
ENSMUSG00000042066,Tmcc2,68875,-4.49934428690685
ENSMUSG00000060044,Tmem26,327766,-1.3951797704632
ENSMUSG00000028420,Tmem38b,52076,-1.37053855204094
ENSMUSG00000040616,Tmem51,214359,-1.5440635888203
ENSMUSG00000028328,Tmod1,21916,-4.10759694633983
ENSMUSG00000028599,Tnfrsf1b,21938,-2.18203938608434
ENSMUSG00000023915,Tnfrsf21,94185,-1.32796792681254
ENSMUSG00000020541,Tom1l1,71943,-2.00196361634552
ENSMUSG00000076461,Trbv1,NA,-6.33697372042613
ENSMUSG00000076471,Trbv14,NA,-5.17983082596356
ENSMUSG00000041754,Trem3,58218,-5.32569303403776
ENSMUSG00000001763,Tspan33,232670,-2.27621270336574
ENSMUSG00000025747,Tyms,22171,-1.28035478450351
ENSMUSG00000031520,Vegfc,22341,-5.04653443135591
ENSMUSG00000001930,Vwf,22371,-3.86956870944876
ENSMUSG00000033227,Wnt6,22420,-5.70170760614599
ENSMUSG00000024066,Xdh,22436,-2.57465961134861
ENSMUSG00000034059,Ypel4,241525,-6.78710603543761
