ensembl_gene_id,external_gene_name,entrezgene,log2FoldChange
ENSMUSG00000044694,2010007H06Rik,NA,1.29131156020804
ENSMUSG00000116644,4933426B08Rik,NA,1.90096137283905
ENSMUSG00000072763,5430403G16Rik,77200,1.21248425655712
ENSMUSG00000105160,A530030E21Rik,NA,1.39040512551602
ENSMUSG00000120335,A630066F11Rik,320642,1.25467998237484
ENSMUSG00000044337,Ackr3,12778,1.78236710217249
ENSMUSG00000046169,Adamts6,108154,1.00396171341944
ENSMUSG00000019699,Akt3,23797,1.12406707511994
ENSMUSG00000035133,Arhgap5,11855,1.52718420585526
ENSMUSG00000112160,BC024063,666584,1.06101761633082
ENSMUSG00000015968,Cacna1d,12289,1.18777845429572
ENSMUSG00000031883,Car7,12354,1.11382411484498
ENSMUSG00000108929,Cc2d2b,668310,2.18704045240128
ENSMUSG00000025804,Ccr1,12768,1.21861152617835
ENSMUSG00000041750,Cd1d2,12480,1.34765594224604
ENSMUSG00000026399,Cd55,13136,1.42420353700023
ENSMUSG00000087691,Cd55os,102640368,2.26379898860907
ENSMUSG00000025867,Cplx2,12890,2.70801657473879
ENSMUSG00000032564,Cpne4,74020,1.99545636784266
ENSMUSG00000026616,Cr2,12902,1.32996179423248
ENSMUSG00000025431,Crisp1,11571,4.61498140660807
ENSMUSG00000025433,Crisp3,11572,2.56966823096862
ENSMUSG00000032101,Ddx25,30959,1.03867477619861
ENSMUSG00000120169,ENSMUSG00000120169,NA,1.04931737011938
ENSMUSG00000120318,ENSMUSG00000120318,NA,1.84047906468116
ENSMUSG00000120534,ENSMUSG00000120534,NA,3.82427354647865
ENSMUSG00000120714,ENSMUSG00000120714,NA,1.17769687822957
ENSMUSG00000121029,ENSMUSG00000121029,NA,1.28425217652643
ENSMUSG00000121277,ENSMUSG00000121277,NA,1.57580411225058
ENSMUSG00000055493,Epm2a,13853,1.23613961192665
ENSMUSG00000069237,Fam8a1,97863,1.06183368546366
ENSMUSG00000015852,Fcrls,80891,2.9245308565282
ENSMUSG00000070880,Gad1,14415,4.4126908076286
ENSMUSG00000091028,Gm10722,NA,2.54764533651007
ENSMUSG00000087452,Gm11998,102631513,1.04883072761769
ENSMUSG00000086825,Gm15675,NA,1.66203085132763
ENSMUSG00000084821,Gm15880,100504375,1.32041414227813
ENSMUSG00000087088,Gm16638,102631889,1.52336730473358
ENSMUSG00000090963,Gm17655,NA,1.05280707663993
ENSMUSG00000108722,Gm34225,102637410,1.55559655698747
ENSMUSG00000094942,Gm3604,100041979,1.31066030663238
ENSMUSG00000114172,Gm36298,NA,1.93509351370344
ENSMUSG00000103883,Gm37010,NA,1.72873831989743
