#	AM14_P1	AM14_P2	AM14_P3	AM14_P4	AM14_P5	AM14_P2_1	AM14_P2_2	AM14_P2_3	AM14_P2_4	AM14_P2_5	AM14_R_1	AM14_R_2	AM14_R_3	AM14_R_4	AM14_R_5	AM14_R2_1	AM14_R2_2	AM14_R2_3	AM14_R2_4	AM14_R2_5
0610009B22Rik	1644	1016	594	253	421	654	1696	1615	250	413	649	469	276	243	276	1038	638	381	317	242
0610009L18Rik	176	112	55	68	60	47	146	182	50	101	33	109	23	49	42	51	69	31	70	80
0610010K14Rik	38	52	18	33	26	26	54	100	16	28	19	25	11	16	3	21	11	24	0	24
0610012G03Rik	2758	2295	1184	1277	1073	1043	2200	1770	1446	1684	1115	1590	961	874	833	1235	1206	1257	1240	1275
0610030E20Rik	1868	2415	1642	1101	1210	1189	2618	3225	1017	1311	1146	1438	753	745	629	1422	1566	827	910	1161
0610039K10Rik	16	38	8	8	12	27	14	12	9	11	3	18	1	7	7	7	7	2	7	16
0610040B10Rik	72	178	56	27	46	142	184	112	67	40	18	54	23	25	14	62	40	29	17	77
0610040J01Rik	78	49	1	5	7	15	12	12	7	6	7	26	10	7	47	0	2	14	4	2
1110002J07Rik	0	39	14	5	0	36	13	0	2	1	4	0	0	5	1	4	8	1	3	12
1110002L01Rik	563	497	310	187	305	223	608	408	156	289	266	239	98	161	118	283	254	156	168	258
1110004F10Rik	10492	9559	5390	3411	3264	4872	11145	8904	3298	4551	5829	4841	2318	2257	2429	6064	5313	2716	3610	3580
1110006O24Rik	126	86	42	37	26	52	130	148	40	38	26	18	19	17	27	66	35	13	25	57
1110013H19Rik	2	27	8	4	17	19	44	16	13	26	0	8	4	9	7	9	13	7	0	3
1110019D14Rik	118	90	41	14	44	33	158	136	37	67	57	29	27	21	40	31	39	13	33	32
1110020A21Rik	54	24	12	9	18	16	16	27	16	26	8	5	7	17	19	8	20	6	6	13
1110028F11Rik	0	16	4	5	6	13	2	20	9	15	1	14	1	15	6	16	1	3	13	5
