NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	117	-0.5421055	-2.6320083	0.0	0.0	0.0	3568	tags=51%, list=23%, signal=66%	
REACTOME_METABOLISM_OF_PORPHYRINS	REACTOME_METABOLISM_OF_PORPHYRINS	Details ...	18	-0.7188347	-2.3198676	0.0	6.259446E-4	0.001	1750	tags=50%, list=11%, signal=56%	
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	Details ...	20	-0.7052323	-2.285125	0.0	0.0016729397	0.004	1942	tags=45%, list=13%, signal=51%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	18	-0.7130379	-2.2801006	0.0	0.0012547049	0.004	2459	tags=67%, list=16%, signal=79%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	Details ...	459	-0.38849363	-2.2504563	0.0	0.0017475242	0.007	2396	tags=30%, list=16%, signal=34%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	24	-0.6664438	-2.2502193	0.0	0.0014562702	0.007	1404	tags=50%, list=9%, signal=55%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	48	-0.554697	-2.237115	0.0	0.0017779686	0.01	4667	tags=69%, list=30%, signal=98%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	61	-0.5296212	-2.234549	0.0	0.0017152219	0.011	2808	tags=48%, list=18%, signal=58%	
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	Details ...	40	-0.5846247	-2.2326298	0.0	0.0015246418	0.011	4268	tags=63%, list=28%, signal=86%	
REACTOME_METABOLISM_OF_CARBOHYDRATES	REACTOME_METABOLISM_OF_CARBOHYDRATES	Details ...	203	-0.4240197	-2.224202	0.0	0.0014959631	0.012	4755	tags=53%, list=31%, signal=76%	
WP_GLUTATHIONE_METABOLISM	WP_GLUTATHIONE_METABOLISM	Details ...	16	-0.73162407	-2.212699	0.0	0.0014732039	0.013	2959	tags=75%, list=19%, signal=93%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	8	-0.915769	-2.2088134	0.0	0.0013504369	0.013	1307	tags=100%, list=8%, signal=109%	
WP_HEME_BIOSYNTHESIS	WP_HEME_BIOSYNTHESIS	Details ...	9	-0.85996383	-2.204243	0.0	0.0012465572	0.013	1750	tags=78%, list=11%, signal=88%	
