NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	119	0.55522007	2.7167497	0.0	0.0	0.0	3791	tags=55%, list=25%, signal=73%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	61	0.63448316	2.7145958	0.0	0.0	0.0	4969	tags=87%, list=32%, signal=128%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	Details ...	94	0.5735719	2.6810296	0.0	0.0	0.0	3901	tags=60%, list=25%, signal=79%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	113	0.5433655	2.6338124	0.0	0.0	0.0	3906	tags=57%, list=25%, signal=75%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	55	0.6025569	2.5779777	0.0	0.0	0.0	4588	tags=71%, list=30%, signal=101%	
WP_ELECTRON_TRANSPORT_CHAIN	WP_ELECTRON_TRANSPORT_CHAIN	Details ...	91	0.54641616	2.5645485	0.0	0.0	0.0	4882	tags=65%, list=32%, signal=94%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	227	0.47373676	2.5586314	0.0	0.0	0.0	3920	tags=47%, list=25%, signal=62%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	57	0.60964894	2.5514514	0.0	0.0	0.0	4588	tags=74%, list=30%, signal=105%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	65	0.58041763	2.536725	0.0	0.0	0.0	4969	tags=71%, list=32%, signal=104%	
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	Details ...	74	0.55985916	2.5313962	0.0	0.0	0.0	5065	tags=76%, list=33%, signal=112%	
REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	Details ...	177	0.4811041	2.513869	0.0	0.0	0.0	3901	tags=48%, list=25%, signal=64%	
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	Details ...	80	0.5496378	2.5073512	0.0	0.0	0.0	3739	tags=56%, list=24%, signal=74%	
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	Details ...	194	0.4653801	2.4764943	0.0	0.0	0.0	3960	tags=49%, list=26%, signal=66%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Details ...	261	0.44950005	2.4648345	0.0	0.0	0.0	3960	tags=48%, list=26%, signal=63%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	43	0.6101138	2.4426687	0.0	0.0	0.0	4588	tags=77%, list=30%, signal=109%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE	Details ...	112	0.49898222	2.383019	0.0	0.0	0.0	4969	tags=64%, list=32%, signal=94%	
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	Details ...	53	0.55274135	2.3249238	0.0	4.1783966E-5	0.001	4882	tags=66%, list=32%, signal=96%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	70	0.52265245	2.3186436	0.0	3.9462633E-5	0.001	3063	tags=43%, list=20%, signal=53%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Details ...	20	0.7028381	2.3109303	0.0	3.7385653E-5	0.001	2051	tags=60%, list=13%, signal=69%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	49	0.5515693	2.2584798	0.0	1.8767326E-4	0.005	4588	tags=67%, list=30%, signal=96%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	63	0.5084593	2.257168	0.0	1.7873645E-4	0.005	4988	tags=65%, list=32%, signal=96%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	132	0.45587242	2.253458	0.0	2.0616874E-4	0.006	5036	tags=57%, list=33%, signal=84%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Details ...	60	0.5263463	2.2410128	0.0	2.6199198E-4	0.008	3901	tags=53%, list=25%, signal=71%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	Details ...	62	0.5088691	2.2340512	0.0	3.443382E-4	0.011	4130	tags=60%, list=27%, signal=81%	
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	Details ...	82	0.4849681	2.2215884	0.0	4.2036967E-4	0.014	5192	tags=66%, list=34%, signal=99%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	Details ...	61	0.5180051	2.2111819	0.0	4.6259648E-4	0.016	3862	tags=56%, list=25%, signal=74%	
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	Details ...	70	0.49115807	2.2005303	0.0	5.5342494E-4	0.02	4130	tags=56%, list=27%, signal=76%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS	Details ...	269	0.39745012	2.1837683	0.0	6.6590344E-4	0.025	5563	tags=56%, list=36%, signal=86%	
REACTOME_METALLOPROTEASE_DUBS	REACTOME_METALLOPROTEASE_DUBS	Details ...	35	0.57746506	2.16346	0.0	9.2403125E-4	0.036	4588	tags=66%, list=30%, signal=93%	
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	Details ...	55	0.50913805	2.147257	0.0	0.0010152063	0.041	2376	tags=38%, list=15%, signal=45%	
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	Details ...	79	0.47231162	2.1443424	0.0	0.0010051712	0.042	5300	tags=65%, list=34%, signal=98%	
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	Details ...	153	0.41593203	2.1367269	0.0	0.0010204324	0.044	4969	tags=56%, list=32%, signal=81%	
REACTOME_CELLULAR_SENESCENCE	REACTOME_CELLULAR_SENESCENCE	Details ...	130	0.427744	2.1365483	0.0	0.0010119391	0.045	4664	tags=52%, list=30%, signal=74%	
REACTOME_TELOMERE_MAINTENANCE	REACTOME_TELOMERE_MAINTENANCE	Details ...	85	0.45888472	2.1238222	0.0	0.00115761	0.051	3088	tags=41%, list=20%, signal=51%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	108	0.4301515	2.118707	0.0	0.0012746915	0.058	3966	tags=46%, list=26%, signal=62%	
REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	Details ...	91	0.44700804	2.0817277	0.0	0.0021203745	0.097	3949	tags=47%, list=26%, signal=63%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR	Details ...	77	0.4637752	2.0713198	0.0	0.0023821231	0.11	4588	tags=56%, list=30%, signal=79%	
REACTOME_MITOCHONDRIAL_BIOGENESIS	REACTOME_MITOCHONDRIAL_BIOGENESIS	Details ...	31	0.5541022	2.0564585	0.0	0.0028469248	0.134	2051	tags=45%, list=13%, signal=52%	
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	Details ...	47	0.50639445	2.0452805	0.0	0.0030579795	0.145	3916	tags=55%, list=25%, signal=74%	
REACTOME_G2_M_CHECKPOINTS	REACTOME_G2_M_CHECKPOINTS	Details ...	151	0.40042454	2.0316374	0.0	0.0035741325	0.171	5300	tags=53%, list=34%, signal=80%	
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	226	0.37174207	2.0148768	0.0	0.004662168	0.223	4304	tags=44%, list=28%, signal=60%	
REACTOME_MITOTIC_PROPHASE	REACTOME_MITOTIC_PROPHASE	Details ...	111	0.41365108	2.001654	0.0	0.005366773	0.256	4588	tags=52%, list=30%, signal=74%	
WP_MRNA_PROCESSING	WP_MRNA_PROCESSING	Details ...	404	0.3443007	1.9972707	0.0	0.0054305797	0.263	4031	tags=42%, list=26%, signal=55%	
REACTOME_PROTEIN_UBIQUITINATION	REACTOME_PROTEIN_UBIQUITINATION	Details ...	67	0.44906765	1.99568	0.0	0.0054421835	0.269	4044	tags=54%, list=26%, signal=73%	
REACTOME_M_PHASE	REACTOME_M_PHASE	Details ...	373	0.34522533	1.9744807	0.0	0.0070066047	0.337	4445	tags=42%, list=29%, signal=58%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	88	0.42176515	1.9677624	0.0	0.0075831064	0.365	5207	tags=50%, list=34%, signal=75%	
REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_ESR_MEDIATED_SIGNALING	Details ...	122	0.39875844	1.9517114	0.0	0.009162466	0.429	4130	tags=44%, list=27%, signal=60%	
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Details ...	32	0.5385824	1.9464412	0.0	0.00943637	0.446	4886	tags=53%, list=32%, signal=78%	
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	Details ...	76	0.4243086	1.9331738	0.0	0.0108327465	0.495	3892	tags=46%, list=25%, signal=61%	
REACTOME_RNA_POLYMERASE_II_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_II_PROMOTER_ESCAPE	Details ...	44	0.47051764	1.9092304	0.0	0.014133611	0.591	4062	tags=50%, list=26%, signal=68%	
REACTOME_HOMOLOGY_DIRECTED_REPAIR	REACTOME_HOMOLOGY_DIRECTED_REPAIR		122	0.38777187	1.9012825	0.0	0.015198414	0.628	5192	tags=56%, list=34%, signal=83%	
REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF	REACTOME_FORMATION_OF_SENESCENCE_ASSOCIATED_HETEROCHROMATIN_FOCI_SAHF		15	0.63130426	1.8945384	0.004	0.016047247	0.662	2484	tags=47%, list=16%, signal=56%	
REACTOME_COMPLEX_IV_ASSEMBLY	REACTOME_COMPLEX_IV_ASSEMBLY		39	0.4855775	1.8840889	0.0041067763	0.017847987	0.715	5163	tags=56%, list=33%, signal=85%	
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ		54	0.4361941	1.8763784	0.0021141649	0.019098585	0.747	5192	tags=70%, list=34%, signal=106%	
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX		31	0.51398486	1.8736308	0.0	0.019398874	0.756	3013	tags=52%, list=20%, signal=64%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS		36	0.48741576	1.8516686	0.0	0.02403899	0.836	4727	tags=53%, list=31%, signal=76%	
REACTOME_S_PHASE	REACTOME_S_PHASE		145	0.35792187	1.8388889	0.0	0.02695674	0.867	5058	tags=46%, list=33%, signal=68%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE		65	0.42635253	1.8286144	0.0	0.02961413	0.897	5192	tags=63%, list=34%, signal=95%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION		117	0.3712081	1.8187115	0.0	0.032192655	0.918	5935	tags=62%, list=38%, signal=101%	
REACTOME_TP53_REGULATES_METABOLIC_GENES	REACTOME_TP53_REGULATES_METABOLIC_GENES		65	0.41048607	1.8069074	0.0	0.0355256	0.939	3649	tags=45%, list=24%, signal=58%	
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION		12	0.6475349	1.8051426	0.0	0.03557749	0.946	2191	tags=50%, list=14%, signal=58%	
