NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	117	-0.5402235	-2.5150242	0.0	0.0	0.0	3556	tags=55%, list=23%, signal=71%	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	427	-0.44057518	-2.4262524	0.0	0.0	0.0	3741	tags=48%, list=24%, signal=62%	
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	Details ...	40	-0.6175608	-2.3640034	0.0	0.0	0.0	2719	tags=60%, list=18%, signal=73%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	41	-0.60409606	-2.3026729	0.0	3.311353E-4	0.001	3529	tags=59%, list=23%, signal=76%	
WP_GLUTATHIONE_METABOLISM	WP_GLUTATHIONE_METABOLISM	Details ...	16	-0.7858437	-2.2893913	0.0	2.6490825E-4	0.001	2171	tags=75%, list=14%, signal=87%	
REACTOME_CELL_CELL_COMMUNICATION	REACTOME_CELL_CELL_COMMUNICATION	Details ...	63	-0.5367707	-2.281522	0.0	2.2075688E-4	0.001	3673	tags=54%, list=24%, signal=71%	
WP_GLUTATHIONE_AND_ONECARBON_METABOLISM	WP_GLUTATHIONE_AND_ONECARBON_METABOLISM	Details ...	27	-0.65223426	-2.258972	0.0	3.7865763E-4	0.002	3026	tags=63%, list=20%, signal=78%	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	Details ...	143	-0.45822772	-2.209028	0.0	6.6635676E-4	0.004	3683	tags=45%, list=24%, signal=58%	
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	Details ...	38	-0.58956885	-2.1976008	0.0	0.0011832155	0.008	2614	tags=58%, list=17%, signal=70%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	61	-0.52932554	-2.191483	0.0	0.0011971963	0.009	3528	tags=57%, list=23%, signal=74%	
REACTOME_METABOLISM_OF_CARBOHYDRATES	REACTOME_METABOLISM_OF_CARBOHYDRATES	Details ...	203	-0.4266991	-2.1687653	0.0	0.0019380846	0.016	5068	tags=57%, list=33%, signal=83%	
