NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	Details ...	10	0.7362304	1.9061502	0.0023310024	0.53903425	0.534	3619	tags=80%, list=23%, signal=104%	
REACTOME_DEADENYLATION_OF_MRNA	REACTOME_DEADENYLATION_OF_MRNA	Details ...	23	0.58075565	1.8644004	0.0023640662	0.42613727	0.704	1984	tags=30%, list=13%, signal=35%	
REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	Details ...	11	0.6650633	1.7572442	0.012269938	0.87705505	0.986	3619	tags=73%, list=23%, signal=95%	
REACTOME_TRP_CHANNELS	REACTOME_TRP_CHANNELS	Details ...	14	0.5882815	1.6610482	0.02293578	1.0	1.0	1346	tags=36%, list=9%, signal=39%	
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Details ...	8	0.68247396	1.6108155	0.033407573	1.0	1.0	2308	tags=38%, list=15%, signal=44%	
REACTOME_GLYCOGEN_SYNTHESIS	REACTOME_GLYCOGEN_SYNTHESIS	Details ...	5	0.7838296	1.5889307	0.018218623	1.0	1.0	2390	tags=40%, list=16%, signal=47%	
REACTOME_PI_3K_CASCADE_FGFR3	REACTOME_PI_3K_CASCADE_FGFR3	Details ...	8	0.6571936	1.5702918	0.024282562	1.0	1.0	164	tags=25%, list=1%, signal=25%	
REACTOME_PI_3K_CASCADE_FGFR4	REACTOME_PI_3K_CASCADE_FGFR4	Details ...	8	0.6571936	1.5650129	0.047826085	1.0	1.0	164	tags=25%, list=1%, signal=25%	
BIOCARTA_ACH_PATHWAY	BIOCARTA_ACH_PATHWAY	Details ...	11	0.5936562	1.554573	0.04398148	1.0	1.0	318	tags=18%, list=2%, signal=19%	
REACTOME_PI_3K_CASCADE_FGFR2	REACTOME_PI_3K_CASCADE_FGFR2	Details ...	8	0.6571936	1.5344115	0.07002188	1.0	1.0	164	tags=25%, list=1%, signal=25%	
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	Details ...	74	0.35743752	1.5318948	0.0026385225	1.0	1.0	1080	tags=22%, list=7%, signal=23%	
WP_MITOCHONDRIAL_GENE_EXPRESSION	WP_MITOCHONDRIAL_GENE_EXPRESSION	Details ...	19	0.49014065	1.5146025	0.03926097	1.0	1.0	2140	tags=32%, list=14%, signal=37%	
REACTOME_REGULATION_OF_INSULIN_SECRETION	REACTOME_REGULATION_OF_INSULIN_SECRETION	Details ...	44	0.392791	1.5144981	0.026829269	1.0	1.0	1518	tags=25%, list=10%, signal=28%	
REACTOME_FOXO_MEDIATED_TRANSCRIPTION	REACTOME_FOXO_MEDIATED_TRANSCRIPTION	Details ...	19	0.49017975	1.5102148	0.057007127	1.0	1.0	2668	tags=32%, list=17%, signal=38%	
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Details ...	26	0.4478203	1.4955419	0.042606518	1.0	1.0	2308	tags=27%, list=15%, signal=32%	
