NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	Details ...	427	-0.48912606	-2.447123	0.0	0.0	0.0	2888	tags=38%, list=19%, signal=45%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	41	-0.6378947	-2.3017511	0.0	0.0	0.0	1839	tags=39%, list=12%, signal=44%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Details ...	72	-0.55823386	-2.237898	0.0	0.0	0.0	2511	tags=43%, list=16%, signal=51%	
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	Details ...	20	-0.7349764	-2.2142563	0.0	6.096372E-4	0.002	2061	tags=60%, list=13%, signal=69%	
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS	REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS	Details ...	12	-0.83382934	-2.1827495	0.0	7.3450385E-4	0.003	1763	tags=75%, list=11%, signal=85%	
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Details ...	85	-0.5294559	-2.1827102	0.0	6.1208656E-4	0.003	2361	tags=41%, list=15%, signal=48%	
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	Details ...	93	-0.5293088	-2.1821623	0.0	5.246456E-4	0.003	1713	tags=38%, list=11%, signal=42%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	117	-0.5086862	-2.1660342	0.0	6.1542186E-4	0.004	2599	tags=40%, list=17%, signal=48%	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	Details ...	8	-0.93731344	-2.1587932	0.0	5.4704165E-4	0.004	975	tags=100%, list=6%, signal=107%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	25	-0.6932379	-2.1580389	0.0	4.9233745E-4	0.004	2016	tags=60%, list=13%, signal=69%	
