NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	41	-0.6317498	-2.287113	0.0	0.0	0.0	3266	tags=56%, list=21%, signal=71%	
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Details ...	24	-0.7077415	-2.2359872	0.0	5.2721886E-4	0.001	3407	tags=83%, list=22%, signal=107%	
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Details ...	18	-0.70701104	-2.1465101	0.0	0.0034821595	0.01	3407	tags=78%, list=22%, signal=100%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	117	-0.47612596	-2.1226125	0.0	0.0034072273	0.013	3852	tags=51%, list=25%, signal=68%	
REACTOME_METABOLISM_OF_PORPHYRINS	REACTOME_METABOLISM_OF_PORPHYRINS	Details ...	18	-0.72151047	-2.1084042	0.0	0.004009179	0.019	2709	tags=67%, list=18%, signal=81%	
WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY	WP_OXIDATIVE_STRESS_AND_REDOX_PATHWAY	Details ...	72	-0.5220528	-2.1043744	0.0	0.003863797	0.022	2763	tags=49%, list=18%, signal=59%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	Details ...	17	-0.7204036	-2.0998712	0.0	0.0037701412	0.025	2603	tags=65%, list=17%, signal=78%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Details ...	72	-0.51105344	-2.0927157	0.0	0.0038361421	0.029	2541	tags=46%, list=16%, signal=55%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	61	-0.5323201	-2.084593	0.0	0.0037574635	0.031	2454	tags=41%, list=16%, signal=49%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	48	-0.54237765	-2.0624588	0.0	0.005386415	0.05	3842	tags=58%, list=25%, signal=77%	
