NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	119	0.5749732	2.6918678	0.0	0.0	0.0	4970	tags=72%, list=32%, signal=106%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	113	0.57530296	2.6356685	0.0	0.0	0.0	3516	tags=59%, list=23%, signal=76%	
REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	Details ...	177	0.53489053	2.6249661	0.0	0.0	0.0	4972	tags=64%, list=32%, signal=94%	
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	Details ...	80	0.59428287	2.6126673	0.0	0.0	0.0	4970	tags=80%, list=32%, signal=117%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC	Details ...	94	0.5867133	2.5787342	0.0	0.0	0.0	4269	tags=71%, list=28%, signal=98%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Details ...	60	0.55864555	2.2569768	0.0	7.7628717E-4	0.005	4970	tags=67%, list=32%, signal=98%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	227	0.43035206	2.2002351	0.0	9.284338E-4	0.007	4792	tags=51%, list=31%, signal=72%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Details ...	261	0.32679063	1.702414	0.0	0.7679976	1.0	5022	tags=44%, list=33%, signal=64%	
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	Details ...	194	0.33617043	1.677003	0.0	0.8719147	1.0	5068	tags=46%, list=33%, signal=67%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	Details ...	30	0.47737214	1.6707369	0.011061947	0.82764685	1.0	6450	tags=70%, list=42%, signal=120%	
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	Details ...	22	0.5023636	1.6541487	0.011111111	0.8610174	1.0	2009	tags=36%, list=13%, signal=42%	
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	Details ...	9	0.6648856	1.6383921	0.025263159	0.9031337	1.0	602	tags=33%, list=4%, signal=35%	
REACTOME_DEADENYLATION_OF_MRNA	REACTOME_DEADENYLATION_OF_MRNA	Details ...	23	0.50280136	1.6364067	0.010683761	0.84794325	1.0	5422	tags=65%, list=35%, signal=100%	
REACTOME_CALCINEURIN_ACTIVATES_NFAT	REACTOME_CALCINEURIN_ACTIVATES_NFAT	Details ...	10	0.62905574	1.6300269	0.04112554	0.8291056	1.0	2244	tags=50%, list=15%, signal=58%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6	Details ...	23	0.48486793	1.6285024	0.02183406	0.78265554	1.0	3690	tags=43%, list=24%, signal=57%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Details ...	20	0.5025979	1.6284087	0.013274336	0.7340929	1.0	6484	tags=75%, list=42%, signal=129%	
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	Details ...	12	0.60455704	1.6140947	0.024242423	0.77392143	1.0	5631	tags=83%, list=37%, signal=131%	
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING	Details ...	5	0.76224804	1.5904491	0.020746889	0.8714076	1.0	602	tags=40%, list=4%, signal=42%	
REACTOME_SIGNALING_BY_ERBB2	REACTOME_SIGNALING_BY_ERBB2	Details ...	39	0.42133272	1.5847727	0.014736842	0.8627573	1.0	2009	tags=33%, list=13%, signal=38%	
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	Details ...	38	0.43111974	1.5826544	0.0112866815	0.83156145	1.0	4311	tags=55%, list=28%, signal=77%	
BIOCARTA_TGFB_PATHWAY	BIOCARTA_TGFB_PATHWAY	Details ...	16	0.53581625	1.5667311	0.028571429	0.8900848	1.0	4776	tags=56%, list=31%, signal=81%	
BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY	Details ...	22	0.4780186	1.5642549	0.025404157	0.864432	1.0	4917	tags=55%, list=32%, signal=80%	
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	Details ...	9	0.64705074	1.5642143	0.042194095	0.8271294	1.0	96	tags=22%, list=1%, signal=22%	
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	Details ...	10	0.60563153	1.5538602	0.03877551	0.85394675	1.0	4584	tags=80%, list=30%, signal=114%	
WP_ERBB_SIGNALING_PATHWAY	WP_ERBB_SIGNALING_PATHWAY	Details ...	39	0.41843325	1.5525484	0.017699115	0.82809776	1.0	1364	tags=23%, list=9%, signal=25%	
REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2	REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2	Details ...	7	0.68941385	1.5518631	0.04828974	0.80023956	1.0	3952	tags=57%, list=26%, signal=77%	
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	Details ...	13	0.5413921	1.5417532	0.04464286	0.8264788	1.0	1398	tags=38%, list=9%, signal=42%	
