NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Adora2b	1	ENSMUSG00000018500	
Adora2a	1	ENSMUSG00000020178	
Gm4342	1	ENSMUSG00000083911	
Trbd1	1	ENSMUSG00000095668	
Rrp1	1	ENSMUSG00000061032	
Trbd2	1	ENSMUSG00000094569	
Fam50a	1	ENSMUSG00000001962	
Vps35	1	ENSMUSG00000031696	
Elk1	1	ENSMUSG00000009406	
Vps36	1	ENSMUSG00000031479	
Cyb561d2	1	ENSMUSG00000037190	
Cyb561d1	1	ENSMUSG00000048796	
Elk3	1	ENSMUSG00000008398	
Rrp9	1	ENSMUSG00000041506	
Tektip1	1	ENSMUSG00000020234	
Rrp8	1	ENSMUSG00000030888	
Vps39	1	ENSMUSG00000027291	
Vps29	1	ENSMUSG00000029462	
Elk4	1	ENSMUSG00000026436	
Abcb6	1	ENSMUSG00000026198	
Abcb7	1	ENSMUSG00000031333	
Abcb4	1	ENSMUSG00000042476	
Osbpl11	1	ENSMUSG00000022807	
Abcb8	1	ENSMUSG00000028973	
Tcp11l1	1	ENSMUSG00000027175	
Abcb9	1	ENSMUSG00000029408	
Tcp11l2	1	ENSMUSG00000020034	
Tent4a	1	ENSMUSG00000034575	
Tent4b	1	ENSMUSG00000036779	
Pcnx3	1	ENSMUSG00000054874	
Gm5682	1	ENSMUSG00000092265	
Pcnx4	1	ENSMUSG00000034501	
Gm4353	1	ENSMUSG00000091900	
Hus1	1	ENSMUSG00000020413	
Vps25	1	ENSMUSG00000078656	
Gm31410	1	ENSMUSG00000111324	
Vps28	1	ENSMUSG00000115987	
Abcc3	1	ENSMUSG00000020865	
Chid1	1	ENSMUSG00000025512	
Vps18	1	ENSMUSG00000034216	
Abcc4	1	ENSMUSG00000032849	
Abcc1	1	ENSMUSG00000023088	
Abcc5	1	ENSMUSG00000022822	
Tent5a	1	ENSMUSG00000032265	
Art2b	1	ENSMUSG00000030651	
Art2a	1	ENSMUSG00000092517	
Tent5c	1	ENSMUSG00000044468	
Gm19774	1	ENSMUSG00000099488	
Gm6981	1	ENSMUSG00000098076	
