NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	179	-0.5530369	-2.882096	0.0	0.0	0.0	2004	tags=43%, list=13%, signal=49%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	89	-0.49079174	-2.2577207	0.0	0.0	0.0	4667	tags=58%, list=30%, signal=83%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	178	-0.43284374	-2.210718	0.0	0.0	0.0	3891	tags=48%, list=25%, signal=63%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	148	-0.41861203	-2.073943	0.0	3.5E-4	0.001	4733	tags=53%, list=31%, signal=76%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	187	-0.3917248	-2.026441	0.0	2.8E-4	0.001	4212	tags=45%, list=27%, signal=62%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	134	-0.40380785	-2.0104718	0.0	2.3333333E-4	0.001	3300	tags=39%, list=21%, signal=49%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	75	-0.43504605	-1.9324439	0.0	0.0016697561	0.007	4590	tags=56%, list=30%, signal=79%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	-0.37551165	-1.8515956	0.0	0.0025081118	0.012	3047	tags=34%, list=20%, signal=42%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	165	-0.36601815	-1.8465815	0.0	0.0022294328	0.012	4026	tags=41%, list=26%, signal=55%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	115	-0.38218358	-1.8320268	0.0	0.0026877392	0.016	5290	tags=50%, list=34%, signal=76%	
