NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	179	-0.5425509	-2.7189846	0.0	0.0	0.0	3103	tags=55%, list=20%, signal=68%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	187	-0.45419854	-2.2691932	0.0	0.0	0.0	3687	tags=47%, list=24%, signal=60%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	75	-0.52809405	-2.265257	0.0	0.0	0.0	3702	tags=56%, list=24%, signal=73%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	148	-0.46019262	-2.228748	0.0	0.0	0.0	3925	tags=51%, list=25%, signal=68%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	134	-0.45025712	-2.160179	0.0	2.9333332E-4	0.001	3732	tags=48%, list=24%, signal=62%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	178	-0.4185936	-2.0894628	0.0	5.264957E-4	0.002	3330	tags=42%, list=22%, signal=52%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	143	-0.41746736	-2.0435174	0.0	4.5128205E-4	0.002	4903	tags=54%, list=32%, signal=78%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	89	-0.45071995	-2.000269	0.0	3.9487178E-4	0.002	4998	tags=56%, list=32%, signal=83%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	165	-0.39819998	-1.9667026	0.0	3.5099714E-4	0.002	3274	tags=35%, list=21%, signal=43%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	155	-0.4087072	-1.9646342	0.0	3.1589743E-4	0.002	3985	tags=49%, list=26%, signal=65%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	100	-0.42432818	-1.9390749	0.0	2.871795E-4	0.002	3337	tags=44%, list=22%, signal=56%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	158	-0.39186385	-1.9050496	0.0	6.310058E-4	0.005	3274	tags=39%, list=21%, signal=49%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	180	-0.37784037	-1.9024993	0.0	5.8246695E-4	0.005	3793	tags=39%, list=25%, signal=52%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	146	-0.37393138	-1.8212318	0.0	0.0023695487	0.022	3677	tags=41%, list=24%, signal=53%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	78	-0.4124256	-1.8179206	0.0016611295	0.0022115787	0.022	4232	tags=45%, list=27%, signal=62%	
