NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	179	-0.70152533	-3.191585	0.0	0.0	0.0	1342	tags=51%, list=9%, signal=55%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	75	-0.5732204	-2.3119376	0.0	0.0	0.0	2301	tags=43%, list=15%, signal=50%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	187	-0.5052046	-2.2983396	0.0	0.0	0.0	2150	tags=37%, list=14%, signal=43%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.6089494	-2.2615387	0.0	0.0	0.0	3485	tags=56%, list=23%, signal=72%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	100	-0.49692366	-2.0780299	0.0	0.0	0.0	2682	tags=39%, list=17%, signal=47%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	-0.45388314	-2.0409555	0.0	0.0	0.0	2699	tags=39%, list=18%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	158	-0.45111415	-2.0121493	0.0	0.0	0.0	3483	tags=43%, list=23%, signal=55%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	89	-0.49064454	-2.0096338	0.0	0.0	0.0	2380	tags=38%, list=15%, signal=45%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	155	-0.4464198	-1.9850138	0.0	1.2865497E-4	0.001	3280	tags=44%, list=21%, signal=55%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	146	-0.4414585	-1.9450613	0.0015015015	5.084155E-4	0.004	2788	tags=38%, list=18%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	172	-0.4277928	-1.9344392	0.0	4.6219592E-4	0.004	2068	tags=33%, list=13%, signal=37%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	23	-0.59668773	-1.8787556	0.0033898305	7.829793E-4	0.007	4023	tags=65%, list=26%, signal=88%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	165	-0.40268597	-1.8094535	0.0	0.0013202399	0.013	4001	tags=42%, list=26%, signal=56%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	115	-0.41137862	-1.7510229	0.0	0.0026277439	0.025	2894	tags=33%, list=19%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	143	-0.39540005	-1.743309	0.0	0.0025388356	0.026	2875	tags=31%, list=19%, signal=37%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	179	-0.37459752	-1.7024647	0.0014925373	0.003969028	0.044	2107	tags=25%, list=14%, signal=28%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	180	-0.37138745	-1.7013851	0.0	0.003735556	0.044	3741	tags=34%, list=24%, signal=45%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	148	-0.38016123	-1.6971043	0.0	0.0035876457	0.045	2366	tags=30%, list=15%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	134	-0.3716519	-1.6282997	0.0030075188	0.0070580477	0.092	3669	tags=35%, list=24%, signal=46%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	178	-0.35409823	-1.6090925	0.0014880953	0.007989999	0.109	2708	tags=29%, list=18%, signal=34%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	141	-0.35886574	-1.5985081	0.0015337423	0.008773114	0.127	2819	tags=29%, list=18%, signal=35%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	134	-0.36306342	-1.5912491	0.0	0.009221943	0.14	4215	tags=47%, list=27%, signal=64%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	138	-0.3565303	-1.5467179	0.0030721966	0.013694101	0.206	2090	tags=24%, list=14%, signal=27%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	82	-0.36584517	-1.4681315	0.015673982	0.027399248	0.388	2867	tags=28%, list=19%, signal=34%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	193	-0.3172327	-1.465185	0.0028449502	0.027328588	0.399	3485	tags=29%, list=23%, signal=37%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	28	-0.42287803	-1.3814493	0.09171076	0.056537	0.662	3395	tags=39%, list=22%, signal=50%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	33	-0.4064886	-1.3748859	0.077328645	0.058706757	0.698	4648	tags=42%, list=30%, signal=61%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	-0.29289332	-1.3578389	0.017142856	0.06469748	0.734	5254	tags=44%, list=34%, signal=66%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	192	-0.29360676	-1.3568351	0.015471167	0.06306587	0.736	4752	tags=44%, list=31%, signal=63%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	78	-0.33279774	-1.3471067	0.043818466	0.06703372	0.764	3544	tags=35%, list=23%, signal=45%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	28	-0.4069093	-1.3132801	0.1252174	0.08621446	0.846	1183	tags=21%, list=8%, signal=23%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	80	-0.3212382	-1.2872137	0.088709675	0.102548026	0.898	3642	tags=36%, list=24%, signal=47%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	24	-0.40953636	-1.2834296	0.13913043	0.10239226	0.909	2862	tags=38%, list=19%, signal=46%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	112	-0.2996472	-1.2781571	0.08510638	0.10380113	0.923	2408	tags=26%, list=16%, signal=30%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	194	-0.2775516	-1.2717417	0.058139537	0.10643763	0.934	3427	tags=29%, list=22%, signal=37%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	66	-0.32082224	-1.2391949	0.13548388	0.13303396	0.973	2257	tags=26%, list=15%, signal=30%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	132	-0.2852851	-1.2390394	0.10664606	0.12951723	0.973	1262	tags=14%, list=8%, signal=16%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.31074542	-1.1801815	0.2012987	0.1892493	0.998	5914	tags=55%, list=38%, signal=89%	
