NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	179	-0.5827898	-2.7368665	0.0	0.0	0.0	2849	tags=56%, list=18%, signal=68%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	-0.5317835	-2.0325608	0.0	0.0	0.0	5586	tags=73%, list=36%, signal=114%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	89	-0.447009	-1.8971918	0.0	9.1212115E-4	0.002	3296	tags=47%, list=21%, signal=60%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	100	-0.4179076	-1.802977	0.0	0.004347119	0.012	4859	tags=57%, list=32%, signal=83%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	75	-0.44137964	-1.7907559	0.0	0.004051666	0.014	2470	tags=35%, list=16%, signal=41%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	187	-0.3665861	-1.7553022	0.0	0.006494564	0.027	4624	tags=45%, list=30%, signal=64%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	80	-0.41477415	-1.7435681	0.0018083183	0.005764926	0.028	2360	tags=28%, list=15%, signal=32%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	148	-0.37238568	-1.7024405	0.0	0.010160634	0.054	3386	tags=39%, list=22%, signal=50%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	151	-0.36075053	-1.6735098	0.0	0.010173997	0.06	3416	tags=38%, list=22%, signal=49%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	155	-0.34536085	-1.5853019	0.0016501651	0.02216095	0.142	2596	tags=31%, list=17%, signal=37%	
