ensembl_gene_id	external_gene_name	description	entrezgene	AM14_P1	AM14_P2	AM14_P3	AM14_P4	AM14_P5	AM14_P2_1	AM14_P2_2	AM14_P2_3	AM14_P2_4	AM14_P2_5	AM14_R_1	AM14_R_2	AM14_R_3	AM14_R_4	AM14_R_5	AM14_R2_1	AM14_R2_2	AM14_R2_3	AM14_R2_4	AM14_R2_5	B18_NP_1	B18_NP_2	B18_NP_3	MRL_C1	MRL_C2	MRL_C3	MRL_C4	MRL_C5	MRL_C6	MRL_C7	MRL_C8	MRL_2DG_1	MRL_2DG_2	MRL_2DG_3	MRL_2DG_4	MRL_2DG_5	MRL_2DG_6	MRL_2DG_7	MRL_2DG_8	MRL_2DG_9
ENSMUSG00000109644	0610005C13Rik	RIKEN cDNA 0610005C13 gene [Source:MGI Symbol;Acc:MGI:1918911]	71661	0	7	6	2	9	0	4	12	1	4	6	5	1	1	0	2	1	0	10	1	8	1	9	5	10	2	3	3	0	1	1	5	1	12	1	7	0	4	2	3
ENSMUSG00000108652	0610006L08Rik	RIKEN cDNA 0610006L08 gene [Source:MGI Symbol;Acc:MGI:1923503]	NA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007777	0610009B22Rik	RIKEN cDNA 0610009B22 gene [Source:MGI Symbol;Acc:MGI:1913300]	66050	1644	1016	594	253	421	654	1696	1615	250	413	649	469	276	243	276	1038	638	381	317	242	613	762	909	695	569	472	551	652	784	553	581	667	569	652	536	666	703	646	508	645
ENSMUSG00000086714	0610009E02Rik	RIKEN cDNA 0610009E02 gene [Source:MGI Symbol;Acc:MGI:3698435]	100125929	0	14	1	5	5	11	10	8	2	4	1	7	4	3	7	8	0	0	1	1	9	10	1	1	13	7	0	12	2	7	5	7	9	12	12	0	5	1	2	0
ENSMUSG00000043644	0610009L18Rik	RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]	66838	176	112	55	68	60	47	146	182	50	101	33	109	23	49	42	51	69	31	70	80	107	121	149	158	183	52	94	168	95	79	92	167	211	101	110	109	130	54	119	81
ENSMUSG00000020831	0610010K14Rik	RIKEN cDNA 0610010K14 gene [Source:MGI Symbol;Acc:MGI:1915609]	104457	38	52	18	33	26	26	54	100	16	28	19	25	11	16	3	21	11	24	0	24	32	31	25	24	18	1	0	0	3	0	8	26	21	4	1	1	11	0	1	0
ENSMUSG00000089755	0610012D04Rik	RIKEN cDNA 0610012D04 gene [Source:MGI Symbol;Acc:MGI:1918926]	NA	0	0	0	7	1	0	0	0	1	0	0	2	1	3	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	2	2	4	1	1	0	1	2
ENSMUSG00000107002	0610012G03Rik	RIKEN cDNA 0610012G03 gene [Source:MGI Symbol;Acc:MGI:1913301]	106264	2758	2295	1184	1277	1073	1043	2200	1770	1446	1684	1115	1590	961	874	833	1235	1206	1257	1240	1275	2060	1396	2169	2434	2197	1141	1617	2218	2581	1590	1498	1837	2154	1575	1480	2168	2430	1985	2074	1864
ENSMUSG00000046683	0610025J13Rik	RIKEN cDNA 0610025J13 gene [Source:MGI Symbol;Acc:MGI:1915618]	NA	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058706	0610030E20Rik	RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614]	68364	1868	2415	1642	1101	1210	1189	2618	3225	1017	1311	1146	1438	753	745	629	1422	1566	827	910	1161	2115	1113	2417	2550	2426	1834	1886	2301	2750	2701	2789	2504	2461	2880	2517	2974	3321	2810	3067	2760
ENSMUSG00000099146	0610031O16Rik	RIKEN cDNA 0610031O16 gene [Source:MGI Symbol;Acc:MGI:1915619]	68369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000108236	0610033M10Rik	RIKEN cDNA 0610033M10 gene [Source:MGI Symbol;Acc:MGI:1921343]	NA	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097882	0610038B21Rik	RIKEN cDNA 0610038B21 gene [Source:MGI Symbol;Acc:MGI:1917595]	70345	0	2	1	1	1	2	0	20	1	0	0	0	0	1	3	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	8	0	0	0
ENSMUSG00000058812	0610039K10Rik	RIKEN cDNA 0610039K10 gene [Source:MGI Symbol;Acc:MGI:1915636]	68386	16	38	8	8	12	27	14	12	9	11	3	18	1	7	7	7	7	2	7	16	13	10	8	63	39	12	10	10	11	22	15	37	44	38	38	22	22	10	19	20
ENSMUSG00000089889	0610040B10Rik	RIKEN cDNA 0610040B10 gene [Source:MGI Symbol;Acc:MGI:1914922]	NA	72	178	56	27	46	142	184	112	67	40	18	54	23	25	14	62	40	29	17	77	71	72	115	67	67	120	87	58	38	66	56	57	60	217	126	62	23	43	63	46
ENSMUSG00000087341	0610040F04Rik	RIKEN cDNA 0610040F04 gene [Source:MGI Symbol;Acc:MGI:1922644]	75394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000060512	0610040J01Rik	RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511]	76261	78	49	1	5	7	15	12	12	7	6	7	26	10	7	47	0	2	14	4	2	10	21	30	20	29	24	9	8	22	17	19	1	12	18	11	8	9	1	14	45
ENSMUSG00000087361	0610043K17Rik	RIKEN cDNA 0610043K17 gene [Source:MGI Symbol;Acc:MGI:1915650]	68400	0	11	1	3	5	1	4	0	3	2	0	4	4	1	2	4	2	1	3	8	5	0	0	1	14	12	16	27	11	9	1	13	17	2	5	7	11	5	5	18
ENSMUSG00000114511	0710001A04Rik	RIKEN cDNA 0710001A04 gene [Source:MGI Symbol;Acc:MGI:1915652]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097863	1010001B22Rik	RIKEN cDNA 1010001B22 gene [Source:MGI Symbol;Acc:MGI:1922653]	NA	32	15	0	7	1	8	40	8	6	4	4	10	1	4	5	0	5	6	0	0	5	10	5	13	2	5	4	3	9	0	1	3	9	2	1	2	4	1	14	0
ENSMUSG00000115547	1100001I12Rik	RIKEN cDNA 1100001I12 gene [Source:MGI Symbol;Acc:MGI:1922655]	NA	0	12	0	0	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090066	1110002E22Rik	RIKEN cDNA 1110002E22 gene [Source:MGI Symbol;Acc:MGI:1915066]	102634333	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000097134	1110002J07Rik	RIKEN cDNA 1110002J07 gene [Source:MGI Symbol;Acc:MGI:1915738]	NA	0	39	14	5	0	36	13	0	2	1	4	0	0	5	1	4	8	1	3	12	8	8	6	0	0	1	0	8	0	0	5	1	5	4	7	4	6	1	11	9
ENSMUSG00000071456	1110002L01Rik	RIKEN cDNA 1110002L01 gene [Source:MGI Symbol;Acc:MGI:1915821]	100043040	563	497	310	187	305	223	608	408	156	289	266	239	98	161	118	283	254	156	168	258	302	262	372	437	481	246	268	343	404	322	387	435	500	376	409	376	349	302	296	319
ENSMUSG00000102531	1110002O04Rik	RIKEN cDNA 1110002O04 gene [Source:MGI Symbol;Acc:MGI:1915733]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106291	1110003F10Rik	RIKEN cDNA 1110003F10 gene [Source:MGI Symbol;Acc:MGI:1915726]	NA	0	7	3	6	1	0	10	16	1	7	5	5	0	0	5	1	9	2	0	6	2	1	2	2	9	2	4	0	0	0	0	9	6	5	4	0	12	0	4	2
ENSMUSG00000030663	1110004F10Rik	RIKEN cDNA 1110004F10 gene [Source:MGI Symbol;Acc:MGI:1929274]	56372	10492	9559	5390	3411	3264	4872	11145	8904	3298	4551	5829	4841	2318	2257	2429	6064	5313	2716	3610	3580	5675	4531	8176	6533	6362	6511	6985	10316	11093	8555	6199	6333	7036	8859	7501	9976	10086	8596	8899	6890
ENSMUSG00000107121	1110006O24Rik	RIKEN cDNA 1110006O24 gene [Source:MGI Symbol;Acc:MGI:1913373]	66123	126	86	42	37	26	52	130	148	40	38	26	18	19	17	27	66	35	13	25	57	85	32	83	36	23	12	6	14	10	26	43	54	32	13	0	15	28	13	18	23
ENSMUSG00000046119	1110008E08Rik	RIKEN cDNA 1110008E08 gene [Source:MGI Symbol;Acc:MGI:1915750]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116164	1110013H19Rik	RIKEN cDNA 1110013H19 gene [Source:MGI Symbol;Acc:MGI:1915772]	NA	2	27	8	4	17	19	44	16	13	26	0	8	4	9	7	9	13	7	0	3	13	38	23	0	36	1	11	3	5	28	10	13	31	9	8	18	1	10	3	13
ENSMUSG00000098659	1110015O18Rik	RIKEN cDNA 1110015O18 gene [Source:MGI Symbol;Acc:MGI:1915766]	100503859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028441	1110017D15Rik	RIKEN cDNA 1110017D15 gene [Source:MGI Symbol;Acc:MGI:1920971]	73721	0	2	0	0	0	0	0	8	2	5	0	3	0	0	4	0	3	0	0	0	0	0	2	0	0	2	0	1	1	0	0	1	1	0	0	1	0	4	3	0
ENSMUSG00000085151	1110018N20Rik	RIKEN cDNA 1110018N20 gene [Source:MGI Symbol;Acc:MGI:1915753]	NA	0	5	2	1	3	0	0	2	4	3	0	3	0	0	0	0	2	0	0	0	7	2	1	3	3	2	0	5	13	14	1	0	5	1	7	9	1	5	1	1
ENSMUSG00000112289	1110019B22Rik	RIKEN cDNA 1110019B22 gene [Source:MGI Symbol;Acc:MGI:1915779]	NA	0	0	0	0	0	0	2	0	0	0	0	0	0	4	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097616	1110019D14Rik	RIKEN cDNA 1110019D14 gene [Source:MGI Symbol;Acc:MGI:1923561]	NA	118	90	41	14	44	33	158	136	37	67	57	29	27	21	40	31	39	13	33	32	145	73	72	2	2	4	1	7	4	8	6	4	7	0	17	11	10	5	3	12
ENSMUSG00000097047	1110020A21Rik	RIKEN cDNA 1110020A21 gene [Source:MGI Symbol;Acc:MGI:1915781]	68531	54	24	12	9	18	16	16	27	16	26	8	5	7	17	19	8	20	6	6	13	29	35	25	11	21	37	5	30	47	23	24	44	38	34	58	14	24	18	31	40
ENSMUSG00000068073	1110025L11Rik	RIKEN cDNA 1110025L11 gene [Source:MGI Symbol;Acc:MGI:1915887]	68637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103520	1110025M09Rik	RIKEN cDNA 1110025M09 gene [Source:MGI Symbol;Acc:MGI:1915885]	NA	4	8	0	0	1	8	4	36	1	2	0	0	4	1	7	2	1	0	5	1	0	4	5	17	10	8	4	1	1	4	10	13	5	18	2	16	1	0	1	18
ENSMUSG00000085972	1110028F11Rik	RIKEN cDNA 1110028F11 gene [Source:MGI Symbol;Acc:MGI:1915940]	NA	0	16	4	5	6	13	2	20	9	15	1	14	1	15	6	16	1	3	13	5	17	6	28	10	7	10	12	7	14	7	9	14	14	6	9	17	14	18	14	25
ENSMUSG00000099139	1110028F18Rik	RIKEN cDNA 1110028F18 gene [Source:MGI Symbol;Acc:MGI:1915942]	68692	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037971	1110032A03Rik	RIKEN cDNA 1110032A03 gene [Source:MGI Symbol;Acc:MGI:1915971]	68721	922	683	279	201	183	263	791	818	255	255	159	293	146	181	178	232	199	159	161	211	335	381	493	338	338	380	341	355	296	339	364	425	405	369	343	381	464	391	218	476
ENSMUSG00000046999	1110032F04Rik	RIKEN cDNA 1110032F04 gene [Source:MGI Symbol;Acc:MGI:1915975]	68725	0	9	0	26	15	4	4	0	14	2	5	19	10	7	12	5	3	10	48	21	0	0	1	19	3	5	0	5	0	0	2	0	6	2	6	15	1	2	1	6
ENSMUSG00000099098	1110035H17Rik	RIKEN cDNA 1110035H17 gene [Source:MGI Symbol;Acc:MGI:1915936]	NA	0	17	5	15	0	15	0	20	2	2	4	8	3	2	0	5	5	0	1	3	9	5	3	4	11	2	2	7	5	3	13	14	15	8	0	7	3	3	3	1
ENSMUSG00000092203	1110038B12Rik	RIKEN cDNA 1110038B12 gene [Source:MGI Symbol;Acc:MGI:1916013]	68763	485	414	205	176	170	238	406	401	201	257	108	265	150	178	154	377	270	180	150	216	343	167	598	252	191	117	162	172	225	138	120	198	186	138	121	216	260	156	164	214
ENSMUSG00000063236	1110038F14Rik	RIKEN cDNA 1110038F14 gene [Source:MGI Symbol;Acc:MGI:2152337]	117171	3482	2434	1351	1393	1211	1176	3238	2393	1317	1602	1532	1751	830	756	874	1619	1328	1067	1132	1362	1890	1578	2371	2138	2079	1322	1591	2236	2215	2039	1631	2025	2550	2075	1550	2175	1839	1945	2088	1703
ENSMUSG00000085457	1110046J04Rik	RIKEN cDNA 1110046J04 gene [Source:MGI Symbol;Acc:MGI:1916058]	68808	0	0	0	0	0	0	0	2	1	1	0	2	1	0	0	3	2	3	0	2	8	0	0	3	1	13	0	10	10	5	4	1	9	3	0	14	34	9	1	6
ENSMUSG00000040591	1110051M20Rik	RIKEN cDNA 1110051M20 gene [Source:MGI Symbol;Acc:MGI:1915079]	228356	1226	832	388	477	455	299	987	673	440	541	363	683	223	210	244	372	521	284	307	390	593	692	947	617	568	496	596	849	436	536	410	825	911	729	526	654	695	484	691	455
ENSMUSG00000068067	1110057P08Rik	RIKEN cDNA 1110057P08 gene [Source:MGI Symbol;Acc:MGI:1916094]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035171	1110059E24Rik	RIKEN cDNA 1110059E24 gene [Source:MGI Symbol;Acc:MGI:1913456]	118568607	4974	4932	2269	1411	1464	2684	5675	6042	1477	1845	1689	1717	821	937	719	2890	2212	1076	1022	1535	2814	2688	3212	820	666	590	892	694	815	698	724	875	686	785	688	863	947	580	550	700
ENSMUSG00000032551	1110059G10Rik	RIKEN cDNA 1110059G10 gene [Source:MGI Symbol;Acc:MGI:1913452]	66202	1878	1666	665	305	424	1139	1711	1867	358	498	417	418	232	229	223	1309	707	229	262	288	648	917	971	849	664	696	808	744	940	916	721	859	764	836	816	940	1040	857	813	826
ENSMUSG00000105036	1110060G06Rik	RIKEN cDNA 1110060G06 gene [Source:MGI Symbol;Acc:MGI:1916064]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078570	1110065P20Rik	RIKEN cDNA 1110065P20 gene [Source:MGI Symbol;Acc:MGI:1916170]	68920	306	180	107	79	58	89	200	156	73	115	114	126	50	60	72	107	96	70	88	74	149	121	138	120	93	70	48	115	102	76	57	118	100	49	68	121	88	124	97	85
ENSMUSG00000111857	1190001M18Rik	RIKEN cDNA 1190001M18 gene [Source:MGI Symbol;Acc:MGI:1916174]	NA	0	4	3	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	10	6	0	6	6	6	0	7	7	8	0	7	0	0	5	11
ENSMUSG00000043687	1190005I06Rik	RIKEN cDNA 1190005I06 gene [Source:MGI Symbol;Acc:MGI:1916168]	68918	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000063320	1190007I07Rik	RIKEN cDNA 1190007I07 gene [Source:MGI Symbol;Acc:MGI:3698433]	544717	347	423	198	207	176	269	434	399	269	225	164	305	157	147	173	328	192	191	214	200	355	159	384	565	425	324	411	512	580	401	331	404	529	429	374	586	615	379	408	308
ENSMUSG00000110013	1190028D05Rik	RIKEN cDNA 1190028D05 gene [Source:MGI Symbol;Acc:MGI:3036227]	330767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087684	1200007C13Rik	RIKEN cDNA 1200007C13 gene [Source:MGI Symbol;Acc:MGI:1921369]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	9	0	6	12	5	15
ENSMUSG00000097290	1300002E11Rik	RIKEN cDNA 1300002E11 gene [Source:MGI Symbol;Acc:MGI:1919001]	100043489	2460	2272	962	620	787	1236	2416	3041	539	912	849	649	405	332	294	972	804	361	467	631	1350	1483	1317	1424	1381	1335	1373	1421	1625	1434	1493	1320	1253	1706	1561	1698	1717	1496	1417	1760
ENSMUSG00000112545	1300014J16Rik	RIKEN cDNA 1300014J16 gene [Source:MGI Symbol;Acc:MGI:1921410]	NA	346	231	69	93	173	147	166	303	162	67	48	93	33	41	40	81	93	36	55	87	111	98	162	640	609	1256	780	731	713	918	1218	942	848	1912	1461	891	791	424	562	520
ENSMUSG00000096221	1500002C15Rik	RIKEN cDNA 1500002C15 gene [Source:MGI Symbol;Acc:MGI:1916196]	NA	0	28	28	24	20	2	2	16	5	29	17	37	10	2	9	7	29	11	8	12	27	15	38	20	8	23	12	3	33	11	10	17	56	25	2	17	6	14	14	2
ENSMUSG00000097595	1500002F19Rik	RIKEN cDNA 1500002F19 gene [Source:MGI Symbol;Acc:MGI:1923933]	NA	14	4	3	1	1	4	0	2	2	1	1	4	0	5	1	9	2	3	4	4	3	3	2	3	2	1	0	0	10	5	0	6	4	7	5	1	7	2	0	6
ENSMUSG00000098912	1500004A13Rik	RIKEN cDNA 1500004A13 gene [Source:MGI Symbol;Acc:MGI:2442808]	319830	58	23	1	10	15	15	34	20	14	18	13	4	4	1	7	6	13	11	9	9	29	6	16	126	109	58	52	66	43	82	36	153	152	116	92	72	53	35	57	114
ENSMUSG00000104888	1500005C15Rik	RIKEN cDNA 1500005C15 gene [Source:MGI Symbol;Acc:MGI:1919269]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087651	1500009L16Rik	RIKEN cDNA 1500009L16 gene [Source:MGI Symbol;Acc:MGI:1917034]	69784	0	0	0	9	8	0	0	0	18	0	0	18	5	25	4	0	0	3	7	7	5	0	0	5	1	0	0	1	6	0	1	2	0	0	0	9	0	6	0	2
ENSMUSG00000072694	1500011B03Rik	RIKEN cDNA 1500011B03 gene [Source:MGI Symbol;Acc:MGI:1913486]	66236	7526	5563	2199	1639	1931	2900	7796	6904	2203	2277	1810	2619	1268	1357	998	2584	2555	1579	2192	1920	3091	3273	4198	2976	3242	2554	3569	3732	3919	3582	2391	3731	3606	3068	2479	3519	4344	3118	3021	2892
ENSMUSG00000097247	1500012K07Rik	RIKEN cDNA 1500012K07 gene [Source:MGI Symbol;Acc:MGI:1916204]	68954	0	6	0	0	0	6	10	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098702	1500015A07Rik	RIKEN cDNA 1500015A07 gene [Source:MGI Symbol;Acc:MGI:1916232]	68982	192	174	88	91	67	100	186	184	84	66	28	59	26	19	60	70	54	21	16	81	34	44	117	56	64	107	60	101	98	90	67	84	93	86	71	87	57	25	55	59
ENSMUSG00000094732	1500015L24Rik	RIKEN cDNA 1500015L24 gene [Source:MGI Symbol;Acc:MGI:1916244]	68994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000097383	1500026H17Rik	RIKEN cDNA 1500026H17 gene [Source:MGI Symbol;Acc:MGI:1916252]	69002	0	1	0	0	1	1	0	4	1	0	0	0	2	0	0	1	0	4	0	0	1	0	1	1	4	0	0	1	8	0	0	7	5	5	1	3	12	10	0	0
ENSMUSG00000117718	1500032F14Rik	RIKEN cDNA 1500032F14 gene [Source:MGI Symbol;Acc:MGI:1925555]	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000059631	1500035N22Rik	RIKEN cDNA 1500035N22 gene [Source:MGI Symbol;Acc:MGI:1917508]	70258	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000043747	1520401A03Rik	RIKEN cDNA 1520401A03 gene [Source:MGI Symbol;Acc:MGI:2443785]	320309	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117232	1600002D24Rik	RIKEN cDNA 1600002D24 gene [Source:MGI Symbol;Acc:MGI:1917026]	69776	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	1
